ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",864052,0.0196,0.6,0.3496,0.0504,677435,0.6946,0.3054,0.1343,0.0267,0.1066,0.0327,0.0091,
"2",850971,0.0042,0.4058,0.5494,0.0448,671079,0.7922,0.2078,0.1181,0.0113,0.0206,0.048,0.0056,
"3",851078,0.0043,0.722,0.2338,0.0442,689281,0.6976,0.3024,0.1069,0.0623,0.0937,0.0352,0.0098,
"4",823608,-0.0281,0.4925,0.4559,0.0516,672496,0.8191,0.1809,0.0731,0.0153,0.037,0.0457,0.0057,
"5",847547,0.0001,0.5112,0.4404,0.0485,660361,0.7456,0.2544,0.1458,0.0174,0.0429,0.0414,0.0091,
"",4237256,1,0.5475,0.4047,0.0479,3370652,0.7495,0.2505,0.1155,0.0268,0.0605,0.0406,0.0079,
