ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",800097,-0.0218,0.2631,0.6901,0.0467,559621,0.8104,0.1896,0.1187,0.0161,0.0266,0.0256,0.0071,
"2",801636,-0.0199,0.3532,0.601,0.0458,588616,0.7615,0.2385,0.1443,0.018,0.038,0.0254,0.0175,
"3",786714,-0.0381,0.275,0.6832,0.0418,559312,0.8044,0.1956,0.111,0.0116,0.0337,0.0277,0.0139,
"4",883169,0.0798,0.3664,0.5904,0.0432,616502,0.7239,0.2761,0.1673,0.0223,0.049,0.0228,0.0202,
"",3271616,1,0.3148,0.6408,0.0443,2324051,0.7736,0.2264,0.1362,0.0172,0.0371,0.0253,0.0148,
