ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",727452,-0.0126,0.4413,0.5365,0.0222,567036,0.8066,0.1934,0.0891,0.061,0.0236,0.0177,0.001,
"2",789393,0.0715,0.6906,0.2879,0.0215,624507,0.8132,0.1868,0.0615,0.0508,0.055,0.0162,0.0012,
"3",733584,-0.0042,0.4889,0.4852,0.0259,577889,0.9093,0.0907,0.0266,0.0165,0.0241,0.0176,0.0011,
"4",695395,-0.0561,0.7467,0.2318,0.0215,526150,0.4529,0.5471,0.1588,0.3274,0.0518,0.0215,0.0014,
"5",735571,-0.0016,0.3841,0.5944,0.0215,579865,0.864,0.136,0.056,0.0279,0.0336,0.0143,0.001,
"6",727774,-0.0121,0.4124,0.5638,0.0238,575819,0.884,0.116,0.0429,0.0259,0.0263,0.0162,0.0009,
"7",732582,-0.0056,0.408,0.57,0.022,577166,0.9142,0.0858,0.0195,0.01,0.0167,0.0324,0.001,
"8",751967,0.0207,0.4143,0.5635,0.0221,583868,0.8693,0.1307,0.0477,0.0194,0.0231,0.0373,0.001,
"",5893718,1,0.4953,0.4821,0.0226,4612300,0.8183,0.1817,0.0616,0.0642,0.0318,0.0216,0.0011,
