ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",694577,-0.0146,0.585,0.3746,0.0405,550760,0.4207,0.5793,0.4514,0.0379,0.0382,0.0725,0.0029,
"2",713214,0.0118,0.4401,0.5274,0.0325,541501,0.3929,0.6071,0.508,0.0257,0.0161,0.0727,0.0023,
"3",706822,0.0028,0.5779,0.3883,0.0338,544263,0.4012,0.5988,0.3713,0.0213,0.021,0.2003,0.0025,
"",2114613,1,0.5404,0.4238,0.0358,1636524,0.405,0.595,0.4435,0.0283,0.0252,0.1151,0.0026,
