ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",602044,0.0069,0.3259,0.6419,0.0322,486311,0.9096,0.0904,0.0158,0.0339,0.0135,0.0195,0.0009,
"2",621081,0.0388,0.3476,0.6249,0.0275,490693,0.8842,0.1158,0.0222,0.0543,0.0127,0.0218,0.0009,
"3",570591,-0.0457,0.2997,0.679,0.0212,455928,0.9142,0.0858,0.0108,0.0435,0.0076,0.0195,0.0006,
"",1793716,1,0.3257,0.6471,0.0272,1432932,0.9024,0.0976,0.0164,0.0439,0.0113,0.0203,0.0008,
