ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",554307,0.0102,0.6505,0.3301,0.0193,445261,0.6746,0.3254,0.1618,0.1038,0.0451,0.0183,0.0022,
"2",543072,-0.0102,0.568,0.4119,0.0201,442333,0.7733,0.2267,0.122,0.0546,0.0382,0.0192,0.0015,
"",1097379,1,0.6067,0.3736,0.0198,887594,0.7238,0.2762,0.1419,0.0793,0.0416,0.0188,0.0019,
