ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",704211,0.0338,0.5378,0.406,0.0563,576220,0.9098,0.0902,0.0184,0.0233,0.0208,0.0183,0.0011,
"2",658148,-0.0338,0.4048,0.5357,0.0595,533865,0.9239,0.0761,0.0132,0.016,0.0113,0.0267,0.001,
"",1362359,1,0.4766,0.4657,0.0578,1110085,0.9166,0.0834,0.0159,0.0198,0.0162,0.0223,0.001,
