endorser_key,endorser,party,method
danny garrett,Danny Garrett,R,wikipedia categories
darcy jech,Darcy Jech,R,wikipedia categories
darin lahood,Darin LaHood,R,descriptor+roster
darlene taylor politician,Darlene Taylor,R,wikipedia categories
darrell issa,Darrell Issa,R,descriptor+roster
darren soto,Darren Soto,D,descriptor+roster
darryl rouson,Darryl Rouson,D,wikipedia categories
daryl beall,Daryl Beall,D,wikipedia categories
daryl jones politician,Daryl Jones,D,wikipedia categories
dave brat,Dave Brat,R,descriptor+roster
dave camp,Dave Camp,R,descriptor+roster
dave deyoe,Dave Deyoe,R,wikipedia categories
dave farnsworth,Dave Farnsworth,R,wikipedia categories
dave hansen politician,Dave Hansen,D,wikipedia categories
dave heineman,Dave Heineman,R,wikipedia categories
dave kinskey,Dave Kinskey,R,wikipedia categories
dave koehler,Dave Koehler,D,wikipedia categories
dave loebsack,Dave Loebsack,D,descriptor+roster
dave marsden politician,David Marsden,D,wikipedia categories
dave mccormick,Dave McCormick,R,descriptor+roster
dave min,Dave Min,D,descriptor+roster
dave murphy wisconsin politician,Dave Murphy,R,wikipedia categories
dave nagle,Dave Nagle,D,descriptor+roster
dave obey,Dave Obey,D,descriptor+roster
dave reichert,Dave Reichert,R,descriptor+roster
dave rogers massachusetts politician,Dave Rogers,D,wikipedia categories
dave syverson,Dave Syverson,R,wikipedia categories
dave trott politician,Dave Trott,R,descriptor+roster
dave upthegrove,Dave Upthegrove,D,wikipedia categories
davey hiott,Davey Hiott,R,wikipedia categories
david agema,David Agema,R,wikipedia categories
david alvarez politician,David Alvarez,D,wikipedia categories
david bonior,David Bonior,D,descriptor+roster
david borrero,David Borrero,R,wikipedia categories
david ciciline,David Ciciline,D,wikipedia categories
david cicilline,David Cicilline,D,descriptor+roster
david clark georgia politician,David Clark,R,wikipedia categories
david derby,David Derby,R,wikipedia categories
david faulkner politician,David Faulkner,R,wikipedia categories
david fraser hidalgo,David Fraser-Hidalgo,D,wikipedia categories
david h watters,David Watters,D,wikipedia categories
david hinkins,David Hinkins,R,wikipedia categories
david j leland,David J. Leland,D,wikipedia categories
david jacoby politician,David Jacoby,D,wikipedia categories
david johnson ohio politician,David Johnson,R,wikipedia categories
david joyce politician,David Joyce,R,descriptor+roster
david kerr iowa politician,David Kerr,R,wikipedia categories
david knight politician,David Knight,R,wikipedia categories
david lagrand,David LaGrand,D,wikipedia categories
david m mcintosh,David McIntosh,R,descriptor+roster
david maloney politician,David Maloney,R,wikipedia categories
david martin michigan politician,David Martin,R,wikipedia categories
david maxwell american politician,David Maxwell,R,wikipedia categories
david mcintosh politician,David McIntosh,R,descriptor+roster
david mckinley,David McKinley,R,descriptor+roster
david meade,David Meade,R,wikipedia categories
david orentlicher,David Orentlicher,D,wikipedia categories
david perdue,David Perdue,R,descriptor+roster
david price american politician,David Price,D,descriptor+roster
david r brinkley,David Brinkley,R,wikipedia categories
david rader,David Rader,R,wikipedia categories
david ralston,David Ralston,R,wikipedia categories
david rivera,David Rivera,R,descriptor+roster
david rouzer,David Rouzer,R,descriptor+roster
david schultheis,David Schultheis,R,wikipedia categories
david schweikert,David Schweikert,R,descriptor+roster
david scott georgia politician,David Scott,D,descriptor+roster
david sessions,David Sessions,R,wikipedia categories
david skaggs,David Skaggs,D,descriptor+roster
david smith florida politician,David Smith,R,wikipedia categories
david steffen,David Steffen,R,wikipedia categories
david taylor ohio politician,Dave Taylor,R,descriptor+roster
david trone,David Trone,D,descriptor+roster
david walters,David Walters,D,wikipedia categories
david whitaker politician,David Whitaker,D,wikipedia categories
david wilkerson politician,David Wilkerson,D,wikipedia categories
david young iowa politician,David Young,R,descriptor+roster
david zuckerman politician,David Zuckerman,D,wikipedia categories
dean black,Dean Black,R,wikipedia categories
dean burke,Dean Burke,R,wikipedia categories
dean fisher,Dean Fisher,R,wikipedia categories
dean heller,Dean Heller,R,descriptor+roster
dean phillips,Dean Phillips,D,descriptor+roster
deann vaught,DeAnn Vaught,R,wikipedia categories
deb fischer,Deb Fischer,R,descriptor+roster
debbie dingell,Debbie Dingell,D,descriptor+roster
debbie lesko,Debbie Lesko,R,descriptor+roster
debbie mayfield,Debbie Mayfield,R,wikipedia categories
debbie mucarsel powell,Debbie Mucarsel-Powell,D,descriptor+roster
debbie stabenow,Debbie Stabenow,D,descriptor+roster
debbie wasserman schultz,Debbie Wasserman Schultz,D,descriptor+roster
deborah berry,Deborah Berry,D,wikipedia categories
deborah j glick,Deborah Glick,D,wikipedia categories
deborah k ross,Deborah K. Ross,D,descriptor+roster
deborah ross politician,Deborah Ross,D,descriptor+roster
delaware democratic party,Delaware Democratic Party,D,wikipedia categories
delaware republican party,Delaware Republican Party,R,wikipedia categories
delia ramirez,Delia Ramirez,D,descriptor+roster
dell kerbs,Dell Kerbs,R,wikipedia categories
della au belatti,Della Au Belatti,D,wikipedia categories
delores mcquinn,Delores McQuinn,D,wikipedia categories
demi busatta,Demi Busatta,R,wikipedia categories
democratic party of arkansas,Democratic Party of Arkansas,D,wikipedia categories
democratic party of connecticut,Democratic Party of Connecticut,D,wikipedia categories
denise driehaus,Denise Driehaus,D,wikipedia categories
denise grimsley,Denise Grimsley,R,wikipedia categories
dennis baxley,Dennis Baxley,R,wikipedia categories
dennis conta,Dennis Conta,D,wikipedia categories
dennis daugaard,Dennis Daugaard,R,wikipedia categories
dennis deconcini,Dennis DeConcini,D,descriptor+roster
dennis hollingsworth,Dennis Hollingsworth,R,wikipedia categories
dennis linthicum,Dennis Linthicum,R,wikipedia categories
dennis moss,Dennis Moss,R,wikipedia categories
denver riggleman,Denver Riggleman,R,descriptor+roster
dereck e davis,Dereck E. Davis,D,wikipedia categories
derek brown politician,Derek Brown,R,wikipedia categories
derek kawakami,Derek Kawakami,D,wikipedia categories
derek kilmer,Derek Kilmer,D,descriptor+roster
derek kitchen,Derek Kitchen,D,wikipedia categories
derek tran,Derek Tran,D,descriptor+roster
derrick van orden,Derrick Van Orden,R,descriptor+roster
derrin owens,Derrin Owens,R,wikipedia categories
deval patrick,Deval Patrick,D,wikipedia categories
devin carney,Devin Carney,R,wikipedia categories
devon mathis,Devon Mathis,R,wikipedia categories
dewayne hill,Dewayne Hill,R,wikipedia categories
dewayne pemberton,Dewayne Pemberton,R,wikipedia categories
diana degette,Diana DeGette,D,descriptor+roster
diana dizoglio,Diana DiZoglio,D,wikipedia categories
diana harshbarger,Diana Harshbarger,R,descriptor+roster
diane black,Diane Black,R,descriptor+roster
diane grendell,Diane Grendell,R,wikipedia categories
diane savino,Diane Savino,D,wikipedia categories
diane watson,Diane Watson,D,descriptor+roster
dianna schimek,DiAnna Schimek,D,wikipedia categories
dianne byrum,Dianne Byrum,D,wikipedia categories
dick batchelor,Dick Batchelor,D,wikipedia categories
dick brewbaker,Dick Brewbaker,R,wikipedia categories
dick celeste,Dick Celeste,D,wikipedia categories
dick cheney,Dick Cheney,R,wikipedia categories
dick durbin,Dick Durbin,D,descriptor+roster
dick gephardt,Dick Gephardt,D,descriptor+roster
diemer true,Diemer True,R,wikipedia categories
dina titus,Dina Titus,D,descriptor+roster
dino rossi,Dino Rossi,R,wikipedia categories
doc hastings,Doc Hastings,R,descriptor+roster
dominic lariccia,Dominic LaRiccia,R,wikipedia categories
don bacon,Don Bacon,R,descriptor+roster
don beyer,Don Beyer,D,descriptor+roster
don davis north carolina politician,Don Davis,D,descriptor+roster
don harmon,Don Harmon,D,wikipedia categories
don ipson,Don Ipson,R,wikipedia categories
don nickles,Don Nickles,R,wikipedia categories
don young,Don Young,R,wikipedia categories
donald burkhart,Don Burkhart,R,wikipedia categories
donald mceachin,Donald McEachin,D,descriptor+roster
donald norcross,Donald Norcross,D,descriptor+roster
donald payne jr,Donald Payne Jr.,D,descriptor+roster
donald trump,Donald Trump,R,wikipedia categories
donna bullock politician,Donna Bullock,D,wikipedia categories
donna campbell,Donna Campbell,R,wikipedia categories
donna j seidel,Donna Seidel,D,wikipedia categories
donna lupardo,Donna Lupardo,D,wikipedia categories
donna shalala,Donna Shalala,D,descriptor+roster
donna soucy,Donna Soucy,D,wikipedia categories
donne trotter,Donne Trotter,D,wikipedia categories
donzella james,Donzella James,D,wikipedia categories
doris kelley,Doris Kelley,D,wikipedia categories
doris matsui,Doris Matsui,D,descriptor+roster
doug burgum,Doug Burgum,R,wikipedia categories
doug collins politician,Doug Collins,R,descriptor+roster
doug lamalfa,Doug LaMalfa,R,descriptor+roster
doug lamborn,Doug Lamborn,R,descriptor+roster
douglas h fisher,Douglas Fisher,D,wikipedia categories
dov hikind,Dov Hikind,D,wikipedia categories
drew edmondson,Drew Edmondson,D,wikipedia categories
drew ferguson politician,Drew Ferguson,R,descriptor+roster
drew macewen,Drew MacEwen,R,wikipedia categories
dustin hite,Dustin Hite,R,wikipedia categories
dusty johnson,Dusty Johnson,R,descriptor+roster
dutch ruppersberger,Dutch Ruppersberger,D,descriptor+roster
dwight evans politician,Dwight Evans,D,descriptor+roster
dwight takamine,Dwight Takamine,D,wikipedia categories
earl blumenauer,Earl Blumenauer,D,descriptor+roster
earl pomeroy,Earl Pomeroy,D,wikipedia categories
earl sears,Earl Sears,R,wikipedia categories
ed case,Ed Case,D,descriptor+roster
ed feighan,Ed Feighan,D,descriptor+roster
ed gillespie,Ed Gillespie,R,wikipedia categories
ed henry alabama politician,Ed Henry,R,wikipedia categories
ed hooper politician,Ed Hooper,R,wikipedia categories
ed markey,Ed Markey,D,descriptor+roster
ed mcbroom,Ed McBroom,R,wikipedia categories
ed perlmutter,Ed Perlmutter,D,descriptor+roster
ed rendell,Ed Rendell,D,wikipedia categories
ed schafer,Ed Schafer,R,wikipedia categories
ed setzler,Ed Setzler,R,wikipedia categories
eddie bernice johnson,Eddie Bernice Johnson,D,descriptor+roster
eddie day pashinski,Eddie Day Pashinski,D,wikipedia categories
eddie lumsden politician,Eddie Lumsden,R,wikipedia categories
eddie morales,Eddie Morales,D,wikipedia categories
edgar flores politician,Edgar Flores,D,wikipedia categories
edith ajello,Edith Ajello,D,wikipedia categories
edolphus towns,Ed Towns,D,descriptor+roster
edward r reilly,Edward R. Reilly,R,wikipedia categories
eileen filler corn,Eileen Filler-Corn,D,wikipedia categories
elaine bloom,Elaine Bloom,D,wikipedia categories
elaine schwartz,Elaine Schwartz,D,wikipedia categories
elbert guillory,Elbert Guillory,D,"wikipedia categories (majority {'D': 2, 'R': 1})"
eleanor holmes norton,Eleanor Holmes Norton,D,wikipedia categories
elena parent,Elena Parent,D,wikipedia categories
eleni kavros degraw,Eleni Kavros DeGraw,D,wikipedia categories
elesha gayman,Elesha Gayman,D,wikipedia categories
eli bebout,Eli Bebout,D,wikipedia categories
eli crane,Eli Crane,R,descriptor+roster
eliot engel,Eliot Engel,D,descriptor+roster
elise stefanik,Elise Stefanik,R,descriptor+roster
elissa slotkin,Elissa Slotkin,D,descriptor+roster
elizabeth bobo,Elizabeth Bobo,D,wikipedia categories
elizabeth h roberts,Elizabeth Roberts,D,wikipedia categories
elizabeth steiner,Elizabeth Steiner,D,wikipedia categories
elizabeth warren,Elizabeth Warren,D,descriptor+roster
ellen read,Ellen Read,D,wikipedia categories
ellen sauerbrey,Ellen Sauerbrey,R,wikipedia categories
eloise reyes,Eloise Reyes,D,wikipedia categories
eloise vitelli,Eloise Vitelli,D,wikipedia categories
emanuel cleaver,Emanuel Cleaver,D,descriptor+roster
emil jones,Emil Jones,D,wikipedia categories
emilia sykes,Emilia Sykes,D,descriptor+roster
emily cain,Emily Cain,D,wikipedia categories
emily randall,Emily Randall,D,descriptor+roster
emmanuel cleaver,Emmanuel Cleaver,D,descriptor+roster
emory dunahoo,Emory Dunahoo,R,wikipedia categories
eric burlison,Eric Burlison,R,descriptor+roster
eric cantor,Eric Cantor,R,descriptor+roster
eric croft,Eric Croft,D,wikipedia categories
eric gallager,Eric Gallager,D,wikipedia categories
eric genrich,Eric Genrich,D,wikipedia categories
eric householder,Eric Householder,R,wikipedia categories
eric johnson georgia politician,Eric Johnson,R,wikipedia categories
eric kearney,Eric Kearney,D,wikipedia categories
eric luedtke,Eric Luedtke,D,wikipedia categories
eric schmitt,Eric Schmitt,R,descriptor+roster
eric sorensen politician,Eric Sorensen,D,descriptor+roster
eric swalwell,Eric Swalwell,D,descriptor+roster
erik martin dilan,Erik Dilan,D,wikipedia categories
erin houchin,Erin Houchin,R,descriptor+roster
erin maye quade,Erin Maye Quade,D,wikipedia categories
esther agbaje,Esther Agbaje,D,wikipedia categories
eugene depasquale,Eugene DePasquale,D,wikipedia categories
eugene vindman,Eugene Vindman,D,descriptor+roster
eva clayton,Eva Clayton,D,descriptor+roster
evan jenne,Evan Jenne,D,wikipedia categories
evan low,Evan Low,D,wikipedia categories
evan vickers,Evan Vickers,R,wikipedia categories
f jay barrows,F. Jay Barrows,R,wikipedia categories
fabian nunez,Fabian Núñez,D,wikipedia categories
federico pena,Federico Peña,D,wikipedia categories
filemon vela jr,Filemon Vela Jr.,D,descriptor+roster
fiona mcfarland,Fiona McFarland,R,wikipedia categories
fran ulmer,Fran Ulmer,D,wikipedia categories
frank dermody,Frank Dermody,D,wikipedia categories
frank ginn,Frank Ginn,R,wikipedia categories
frank guinta,Frank Guinta,R,statewide fallback
frank iler,Frank Iler,R,wikipedia categories
frank j mrvan,Frank J. Mrvan,D,descriptor+roster
frank lucas oklahoma politician,Frank Lucas,R,descriptor+roster
frank mcnulty colorado politician,Frank McNulty,R,wikipedia categories
frank niceley,Frank Niceley,R,wikipedia categories
frank pallone,Frank Pallone,D,descriptor+roster
frank peterman,Frank Peterman,D,wikipedia categories
frank s turner,Frank S. Turner,D,wikipedia categories
frank simpson politician,Frank Simpson,R,wikipedia categories
frank wolf politician,Frank Wolf,R,descriptor+roster
fred davis jr,Fred Davis Jr.,D,wikipedia categories
fred durhal iii,Fred Durhal III,D,wikipedia categories
fred grandy,Fred Grandy,R,wikipedia categories
fred keller politician,Fred Keller,R,descriptor+roster
fred kessler,Fred Kessler,D,wikipedia categories
fred lippman,Fred Lippman,D,wikipedia categories
fred smith north carolina politician,Fred Smith,R,wikipedia categories
fred upton,Fred Upton,R,descriptor+roster
freddie powell sims,Freddie Powell Sims,D,wikipedia categories
frederica wilson,Frederica Wilson,D,descriptor+roster
fredrick love,Fredrick Love,D,wikipedia categories
freedom caucus,House Freedom Fund,R,wikipedia categories
french hill politician,French Hill,R,descriptor+roster
g k butterfield,G. K. Butterfield,D,descriptor+roster
g steven rowe,Steve Rowe,D,wikipedia categories
gabby giffords,Gabby Giffords,D,descriptor+roster
gabe amo,Gabe Amo,D,descriptor+roster
gabe evans,Gabe Evans,R,descriptor+roster
gabe vasquez,Gabe Vasquez,D,descriptor+roster
gail schwartz,Gail Schwartz,D,wikipedia categories
gale mastrofrancesco,Gale Mastrofrancesco,R,wikipedia categories
garland e pierce,Garland Pierce,D,wikipedia categories
garry mize,Garry Mize,R,wikipedia categories
gary ackerman,Gary Ackerman,D,descriptor+roster
gary george wisconsin politician,Gary George,D,wikipedia categories
gary hart,Gary Hart,D,descriptor+roster
gary hebl,Gary Hebl,D,wikipedia categories
gary hooser,Gary Hooser,D,wikipedia categories
gary locke,Gary Locke,D,wikipedia categories
gary mohr,Gary Mohr,R,wikipedia categories
gary palmer,Gary Palmer,R,descriptor+roster
gary palmer politician,Gary Palmer,R,descriptor+roster
gary peters,Gary Peters,D,descriptor+roster
gary siplin,Gary Siplin,D,wikipedia categories
gary stanislawski,Gary Stanislawski,R,wikipedia categories
gary stevens politician,Gary Stevens,R,wikipedia categories
gary tauchen,Gary Tauchen,R,wikipedia categories
gary turco,Gary Turco,D,wikipedia categories
gary vandeaver,Gary VanDeaver,R,wikipedia categories
gary worthan,Gary Worthan,R,wikipedia categories
gavin newsom,Gavin Newsom,D,wikipedia categories
gayle harrell,Gayle Harrell,R,wikipedia categories
gene wu,Gene Wu,D,wikipedia categories
genevieve mcdonald,Genevieve McDonald,D,wikipedia categories
geoff diehl,Geoff Diehl,R,wikipedia categories
geoff luxenberg,Geoff Luxenberg,D,wikipedia categories
george ariyoshi,George Ariyoshi,D,wikipedia categories
george c edwards,George C. Edwards,R,wikipedia categories
george dungan,George Dungan,D,wikipedia categories
george dungan iii,George Dungan III,D,wikipedia categories
george e young,George E. Young,D,wikipedia categories
george holding,George Holding,R,descriptor+roster
george latimer new york politician,George Latimer,D,descriptor+roster
george pataki,George Pataki,R,wikipedia categories
george santos,George Santos,R,descriptor+roster
george t whitesides,George T. Whitesides,D,descriptor+roster
george w bush,George W. Bush,R,wikipedia categories
gerald mullery,Gerald Mullery,D,wikipedia categories
geraldine thompson,Geraldine Thompson,D,wikipedia categories
geraldine valentino smith,Geraldine Valentino-Smith,D,wikipedia categories
gerry ward politician,Gerry Ward,D,wikipedia categories
gil cisneros,Gil Cisneros,D,descriptor+roster
gina raimondo,Gina Raimondo,D,wikipedia categories
ginny coppola,Ginny Coppola,R,wikipedia categories
ginny ehrhart,Ginny Ehrhart,R,wikipedia categories
ginny klevorn,Ginny Klevorn,D,wikipedia categories
ginny lyons,Ginny Lyons,D,wikipedia categories
ginny shaver,Ginny Shaver,R,wikipedia categories
giovanni capriglione,Giovanni Capriglione,R,wikipedia categories
glen mulready,Glen Mulready,R,wikipedia categories
glenn grothman,Glenn Grothman,R,descriptor+roster
glenn ivey,Glenn Ivey,D,descriptor+roster
glenn thompson politician,Glenn Thompson,R,descriptor+roster
gordon m johnson,Gordon M. Johnson,D,wikipedia categories
grace meng,Grace Meng,D,descriptor+roster
green party of arizona,Green Party of Arizona,G,wikipedia categories
green party of california,Green Party of California,G,wikipedia categories
green party of washington state,Green Party of Washington State,G,wikipedia categories
greg abbott,Greg Abbott,R,wikipedia categories
greg albritton,Greg Albritton,R,wikipedia categories
greg casar,Greg Casar,D,descriptor+roster
greg gianforte,Greg Gianforte,R,wikipedia categories
greg harris politician,Greg Harris,D,wikipedia categories
greg hembree,Greg Hembree,R,wikipedia categories
greg landsman,Greg Landsman,D,descriptor+roster
greg laughlin,Greg Laughlin,D,descriptor+roster
greg leding,Greg Leding,D,wikipedia categories
greg mccortney,Greg McCortney,R,wikipedia categories
greg meeks,Greg Meeks,D,descriptor+roster
greg murphy politician,Greg Murphy,R,descriptor+roster
greg pence,Greg Pence,R,descriptor+roster
greg reed,Greg Reed,R,wikipedia categories
greg rothman,Greg Rothman,R,wikipedia categories
greg smith oregon politician,Greg Smith,R,wikipedia categories
greg stanton,Greg Stanton,D,descriptor+roster
greg steube,Greg Steube,R,descriptor+roster
greg treat,Greg Treat,R,wikipedia categories
greg walden,Greg Walden,R,descriptor+roster
gregory costantino,Gregory Costantino,D,wikipedia categories
gregory meeks,Gregory Meeks,D,descriptor+roster
gus bilirakis,Gus Bilirakis,R,descriptor+roster
gustavo rivera politician,Gustavo Rivera,D,wikipedia categories
guy reschenthaler,Guy Reschenthaler,R,descriptor+roster
gwen graham,Gwen Graham,D,descriptor+roster
gwen moore,Gwen Moore,D,descriptor+roster
h lynn jondahl,Lynn Jondahl,D,wikipedia categories
hakeem jeffries,Hakeem Jeffries,D,descriptor+roster
hal daub,Hal Daub,R,descriptor+roster
hal rafter,Hal Rafter,D,wikipedia categories
hal rogers,Hal Rogers,R,descriptor+roster
haley stevens,Haley Stevens,D,descriptor+roster
hank brown,Hank Brown,R,descriptor+roster
hank johnson,Hank Johnson,D,descriptor+roster
hannah pingree,Hannah Pingree,D,wikipedia categories
harlan edmonds,Harlan Edmonds,R,wikipedia categories
harriet hageman,Harriet Hageman,R,descriptor+roster
harriette chandler,Harriette Chandler,D,wikipedia categories
harriette l chandler,Harriette L. Chandler,D,wikipedia categories
harry bronson,Harry Bronson,D,wikipedia categories
harry j warren,Harry J. Warren,R,wikipedia categories
harry shiver,Harry Shiver,R,wikipedia categories
hazelle p rogers,Hazelle P. Rogers,D,wikipedia categories
heath flora,Heath Flora,R,wikipedia categories
heather ammons crawford,Heather Ammons Crawford,R,wikipedia categories
heather somers,Heather Somers,R,wikipedia categories
heather steans,Heather Steans,D,wikipedia categories
helena moreno,Helena Moreno,D,wikipedia categories
henry bonilla,Henry Bonilla,R,descriptor+roster
henry brown south carolina politician,Henry Brown,R,descriptor+roster
henry cuellar,Henry Cuellar,D,descriptor+roster
henry genga,Henry Genga,D,wikipedia categories
henry mcmaster,Henry McMaster,R,wikipedia categories
henry yanez,Henry Yanez,D,wikipedia categories
herb conaway,Herb Conaway,D,descriptor+roster
herb kohl,Herb Kohl,D,descriptor+roster
herman quirmbach,Herman Quirmbach,D,wikipedia categories
hillary clinton,Hillary Clinton,D,wikipedia categories
hillary scholten,Hillary Scholten,D,descriptor+roster
hollis french,Hollis French,D,wikipedia categories
holly brink,Holly Brink,R,wikipedia categories
holly schepisi,Holly Schepisi,R,wikipedia categories
howard marklein,Howard Marklein,R,wikipedia categories
howard sanderford,Howard Sanderford,R,wikipedia categories
ian calderon,Ian Calderon,D,wikipedia categories
ilhan omar,Ilhan Omar,D,descriptor+roster
indiana democratic party,Indiana Democratic Party,D,wikipedia categories
indiana republican party,Indiana Republican Party,R,wikipedia categories
iowa democratic party,Iowa Democratic Party,D,wikipedia categories
irene haines,Irene Haines,R,wikipedia categories
iris martinez,Iris Martinez,D,wikipedia categories
j b jennings,J. B. Jennings,R,wikipedia categories
j b mccuskey,J.B. McCuskey,R,wikipedia categories
j b pritzker,J. B. Pritzker,D,wikipedia categories
j d scholten,J. D. Scholten,D,wikipedia categories
j david weeks,J. David Weeks,D,wikipedia categories
j gary pretlow,Gary Pretlow,D,wikipedia categories
j joseph curran jr,J. Joseph Curran Jr.,D,wikipedia categories
j t waggoner,J. T. Waggoner,R,wikipedia categories
jack bergman,Jack Bergman,R,descriptor+roster
jack cera,Jack Cera,D,wikipedia categories
jack ciattarelli,Jack Ciattarelli,R,wikipedia categories
jack johnson american politician,Jack Johnson,R,wikipedia categories
jack reed rhode island politician,Jack Reed,D,wikipedia categories
jack w williams politician,Jack W. Williams,R,wikipedia categories
jackie speier,Jackie Speier,D,descriptor+roster
jackie walorski,Jackie Walorski,R,descriptor+roster
jacky rosen,Jacky Rosen,D,descriptor+roster
jacob bossman,Jacob Bossman,R,wikipedia categories
jacob hummel,Jacob Hummel,D,wikipedia categories
jadine nollan,Jadine Nollan,R,wikipedia categories
jahana hayes,Jahana Hayes,D,descriptor+roster
jake ashby,Jake Ashby,R,wikipedia categories
jake auchincloss,Jake Auchincloss,D,descriptor+roster
jake corman,Jake Corman,R,wikipedia categories
jake ellzey,Jake Ellzey,R,descriptor+roster
jake laturner,Jake LaTurner,R,descriptor+roster
jake wheatley,Jake Wheatley,D,wikipedia categories
jamaal bowman,Jamaal Bowman,D,descriptor+roster
james arciero,James Arciero,D,wikipedia categories
james barcia,James Barcia,D,wikipedia categories
james beach,James Beach,D,wikipedia categories
james beverly,James Beverly,D,wikipedia categories
james buchanan florida politician,James Buchanan,R,wikipedia categories
james c greenwood,James Greenwood,R,descriptor+roster
james clayborne jr,James Clayborne Jr.,D,wikipedia categories
james e tierney,James E. Tierney,D,wikipedia categories
james f brennan,James Brennan,D,wikipedia categories
james f ports jr,James F. Ports Jr.,R,wikipedia categories
james g martin,Jim Martin,R,wikipedia categories
james j blanchard,James Blanchard,D,wikipedia categories
james j kennedy,James J. Kennedy,D,wikipedia categories
james j lyons jr,Jim Lyons,R,wikipedia categories
james lankford,James Lankford,R,descriptor+roster
james leewright,James Leewright,R,wikipedia categories
james rosapepe,James Rosapepe,D,wikipedia categories
james skoufis,James Skoufis,D,wikipedia categories
jamie eldridge,Jamie Eldridge,D,wikipedia categories
jamie long,Jamie Long,D,wikipedia categories
jamie raskin,Jamie Raskin,D,descriptor+roster
jan jones georgia politician,Jan Jones,R,wikipedia categories
jan lee,Jan Lee,D,wikipedia categories
jan schakowsky,Jan Schakowsky,D,descriptor+roster
jane bloomingdale,Jane Bloomingdale,R,wikipedia categories
jane kitchel,Jane Kitchel,D,wikipedia categories
jane norton,Jane Norton,R,wikipedia categories
jane swift,Jane Swift,R,wikipedia categories
janelle bynum,Janelle Bynum,D,descriptor+roster
janet bewley politician,Janet Bewley,D,wikipedia categories
janet cruz,Janet Cruz,D,wikipedia categories
janet howell,Janet Howell,D,wikipedia categories
janet mills,Janet Mills,D,wikipedia categories
janet napolitano,Janet Napolitano,D,wikipedia categories
janet petersen,Janet Petersen,D,wikipedia categories
janine boyd,Janine Boyd,D,wikipedia categories
janis ringhand,Janis Ringhand,D,wikipedia categories
jarad klein,Jarad Klein,R,wikipedia categories
jared golden,Jared Golden,D,descriptor+roster
jared huffman,Jared Huffman,D,descriptor+roster
jared moskowitz,Jared Moskowitz,D,descriptor+roster
jared polis,Jared Polis,D,wikipedia categories
jasmine crockett,Jasmine Crockett,D,descriptor+roster
jason carter politician,Jason Carter,D,wikipedia categories
jason crow,Jason Crow,D,descriptor+roster
jason kander,Jason Kander,D,wikipedia categories
jason kyle politician,Jason Kyle,R,wikipedia categories
jason lewis massachusetts politician,Jason Lewis,D,wikipedia categories
jason lewis minnesota politician,Jason Lewis,R,wikipedia categories
jason powell,Jason Powell,D,wikipedia categories
jason rapert,Jason Rapert,R,wikipedia categories
jason rojas,Jason Rojas,D,wikipedia categories
jason shoaf,Jason Shoaf,R,wikipedia categories
jason smith american politician,Jason Smith,R,descriptor+roster
jay adams politician,Jay Adams,R,wikipedia categories
jay costa,Jay Costa,D,wikipedia categories
jay hoffman politician,Jay Hoffman,D,wikipedia categories
jay inslee,Jay Inslee,D,wikipedia categories
jay jordan politician,Jay Jordan,R,wikipedia categories
jay livingstone,Jay Livingstone,D,wikipedia categories
jay obernolte,Jay Obernolte,R,descriptor+roster
jay trumbull,Jay Trumbull,R,wikipedia categories
jay walker legislator,Jay Walker,D,wikipedia categories
jb pritzker,JB Pritzker,D,wikipedia categories
jd rossetti,JD Rossetti,D,wikipedia categories
jd vance,JD Vance,R,descriptor+roster
jean carnahan,Jean Carnahan,D,descriptor+roster
jean schmidt,Jean Schmidt,R,wikipedia categories
jeanne shaheen,Jeanne Shaheen,D,descriptor+roster
jeb hensarling,Jeb Hensarling,R,descriptor+roster
jeff atwater,Jeff Atwater,R,wikipedia categories
jeff bradley politician,Jeff Bradley,R,wikipedia categories
jeff colyer,Jeff Colyer,R,wikipedia categories
jeff duncan politician,Jeff Duncan,R,descriptor+roster
jeff flake,Jeff Flake,R,wikipedia categories
jeff gallahan,Jeff Gallahan,R,wikipedia categories
jeff golden,Jeff Golden,D,wikipedia categories
jeff hurd,Jeff Hurd,R,descriptor+roster
jeff irwin politician,Jeff Irwin,D,wikipedia categories
jeff jackson politician,Jeff Jackson,D,descriptor+roster
jeff johnson south carolina politician,Jeff Johnson,R,wikipedia categories
jeff kaufmann,Jeff Kaufmann,R,wikipedia categories
jeff merkley,Jeff Merkley,D,descriptor+roster
jeff miller florida politician,Jeff Miller,R,descriptor+roster
jeff mullis,Jeff Mullis,R,wikipedia categories
jeff perry politician,Jeff Perry,R,wikipedia categories
jeff smith wisconsin politician,Jeff Smith,D,wikipedia categories
jeff van drew,Jeff Van Drew,R,"descriptor+roster (switch, dated)"
jefferson s burton,Jeff Burton,R,wikipedia categories
jefferson shreve,Jefferson Shreve,R,descriptor+roster
jeffrey a neubauer,Jeffrey Neubauer,D,wikipedia categories
jeffrey dinowitz,Jeffrey Dinowitz,D,wikipedia categories
jeffrey mursau,Jeffrey Mursau,R,wikipedia categories
jeffrey roy,Jeffrey Roy,D,wikipedia categories
jeffrey schoenberg,Jeffrey Schoenberg,D,wikipedia categories
jehan gordon booth,Jehan Gordon-Booth,D,wikipedia categories
jen kiggans,Jen Kiggans,R,descriptor+roster
jenna persons mulicka,Jenna Persons-Mulicka,R,wikipedia categories
jennifer canady,Jennifer Canady,R,wikipedia categories
