endorser_key,endorser,party,method
armando martinez politician,Armando Martinez,D,wikipedia categories
armando walle,Armando Walle,D,wikipedia categories
art agnos,Art Agnos,D,wikipedia categories
art staed,Art Staed,D,wikipedia categories
art torres,Art Torres,D,wikipedia categories
arthenia joyner,Arthenia Joyner,D,wikipedia categories
arthur orr,Arthur Orr,R,wikipedia categories
aruna miller,Aruna Miller,D,wikipedia categories
asa hutchinson,Asa Hutchinson,R,wikipedia categories
ashley hinson,Ashley Hinson,R,descriptor+roster
ashley trantham,Ashley Trantham,R,wikipedia categories
audrey gibson,Audrey Gibson,D,wikipedia categories
august pfluger,August Pfluger,R,descriptor+roster
austin knudsen,Austin Knudsen,R,wikipedia categories
austin scott,Austin Scott,R,descriptor+roster
austin scott politician,Austin Scott,R,descriptor+roster
austin theriault,Austin Theriault,R,wikipedia categories
ayanna pressley,Ayanna Pressley,D,descriptor+roster
bakari sellers,Bakari Sellers,D,wikipedia categories
barack obama,Barack Obama,D,wikipedia categories
barbara b kennelly,Barbara B. Kennelly,D,descriptor+roster
barbara boxer,Barbara Boxer,D,descriptor+roster
barbara byrum,Barbara Byrum,D,wikipedia categories
barbara comstock,Barbara Comstock,R,descriptor+roster
barbara cubin,Barbara Cubin,R,descriptor+roster
barbara flynn currie,Barbara Flynn Currie,D,wikipedia categories
barbara lee,Barbara Lee,D,descriptor+roster
barbara mikulski,Barbara Mikulski,D,descriptor+roster
barbara roberts,Barbara Roberts,D,wikipedia categories
barney frank,Barney Frank,D,descriptor+roster
barry fleming,Barry Fleming,R,wikipedia categories
barry glassman,Barry Glassman,R,wikipedia categories
barry goldwater jr,Barry Goldwater Jr.,R,descriptor+roster
barry loudermilk,Barry Loudermilk,R,descriptor+roster
barry moore american politician,Barry Moore,R,descriptor+roster
bart stupak,Bart Stupak,D,descriptor+roster
becky skillman,Becky Skillman,R,wikipedia categories
ben cardin,Ben Cardin,D,descriptor+roster
ben carson 2016 presidential campaign,Ben Carson 2016 presidential campaign,R,wikipedia categories
ben chandler,Ben Chandler,D,descriptor+roster
ben cline,Ben Cline,R,descriptor+roster
ben nelson,Ben Nelson,D,descriptor+roster
ben nighthorse campbell,Ben Nighthorse Campbell,R,"descriptor+roster (switch, dated)"
ben ray lujan,Ben Ray Luján,D,wikipedia categories
ben sasse,Ben Sasse,R,descriptor+roster
benjamin f kramer,Benjamin Kramer,D,wikipedia categories
bennie thompson,Bennie Thompson,D,descriptor+roster
bernie moreno,Bernie Moreno,R,descriptor+roster
berny jacques,Berny Jacques,R,wikipedia categories
berta gardner,Berta Gardner,D,wikipedia categories
beth bye,Beth Bye,D,wikipedia categories
beth kerttula,Beth Kerttula,D,wikipedia categories
beth meyers,Beth Meyers,D,wikipedia categories
beth mizell,Beth Mizell,R,wikipedia categories
beth van duyne,Beth Van Duyne,R,descriptor+roster
beth wessel kroeschell,Beth Wessel-Kroeschell,D,wikipedia categories
beto o rourke,Beto O'Rourke,D,descriptor+roster
betsy b carr,Betsy Carr,D,wikipedia categories
betsy devos,Betsy DeVos,R,wikipedia categories
betsy markey,Betsy Markey,D,descriptor+roster
betty castor,Betty Castor,D,wikipedia categories
betty mccollum,Betty McCollum,D,descriptor+roster
betty montgomery,Betty Montgomery,R,wikipedia categories
betty yee,Betty Yee,D,wikipedia categories
bettylou decroce,BettyLou DeCroce,R,wikipedia categories
bev clarno,Bev Clarno,R,wikipedia categories
beverly byron,Beverly Byron,D,descriptor+roster
bill archer,Bill Archer,R,descriptor+roster
bill bradbury,Bill Bradbury,D,wikipedia categories
bill bradley,Bill Bradley,D,descriptor+roster
bill cassidy,Bill Cassidy,R,descriptor+roster
bill chumley,Bill Chumley,R,wikipedia categories
bill clay,Bill Clay,D,descriptor+roster
bill clinton,Bill Clinton,D,wikipedia categories
bill clyburn,Bill Clyburn,D,wikipedia categories
bill cowsert,Bill Cowsert,R,wikipedia categories
bill delahunt,Bill Delahunt,D,wikipedia categories
bill dotzler,Bill Dotzler,D,wikipedia categories
bill ferguson politician,Bill Ferguson,D,wikipedia categories
bill flores,Bill Flores,R,descriptor+roster
bill foster politician,Bill Foster,D,descriptor+roster
bill frist,Bill Frist,R,descriptor+roster
bill hagerty,Bill Hagerty,R,descriptor+roster
bill haslam,Bill Haslam,R,wikipedia categories
bill heckroth,Bill Heckroth,D,wikipedia categories
bill hitchens,Bill Hitchens,R,wikipedia categories
bill hixon,Bill Hixon,R,wikipedia categories
bill huizenga,Bill Huizenga,R,descriptor+roster
bill johnson ohio politician,Bill Johnson,R,descriptor+roster
bill keating,Bill Keating,D,descriptor+roster
bill keating politician,Bill Keating,D,descriptor+roster
bill kennemer,Bill Kennemer,R,wikipedia categories
bill magnarelli,Bill Magnarelli,D,wikipedia categories
bill mccollum,Bill McCollum,R,wikipedia categories
bill nelson,Bill Nelson,D,descriptor+roster
bill owens colorado politician,Bill Owens,R,wikipedia categories
bill owens new york politician,Bill Owens,D,descriptor+roster
bill pascrell,Bill Pascrell,D,descriptor+roster
bill posey,Bill Posey,R,descriptor+roster
bill reineke,Bill Reineke,R,wikipedia categories
bill ritter,Bill Ritter,D,wikipedia categories
bill schuette,Bill Schuette,R,wikipedia categories
bill seitz,Bill Seitz,R,wikipedia categories
bill thomas alaska politician,Bill Thomas,R,wikipedia categories
bill wielechowski,Bill Wielechowski,D,wikipedia categories
bill young florida politician,Bill Young,R,wikipedia categories
billy long,Billy Long,R,descriptor+roster
blaine luetkemeyer,Blaine Luetkemeyer,R,descriptor+roster
blaise ingoglia,Blaise Ingoglia,R,wikipedia categories
blake moore,Blake Moore,R,descriptor+roster
blake oshiro,Blake Oshiro,D,wikipedia categories
