snapshot_date,source_id,category,publication,race_id,chamber,state,district,quantity,value,unit,captured_at,raw_sha256,raw_path,provenance
2026-06-15,kalshi,market,individual,NATL_HOUSE_2026,national,,,seats_D,229.55,seats,,,/Users/cantstopkevin/Library/CloudStorage/Dropbox/Claude/website/KD-website/forecast/data/2026/raw/kalshi/2026-06-15/markets-KXDHOUSESEATS.json,archival
2026-06-15,kalshi,market,individual,NATL_HOUSE_2026,national,,,win_prob_D,0.772,prob,,,/Users/cantstopkevin/Library/CloudStorage/Dropbox/Claude/website/KD-website/forecast/data/2026/raw/kalshi/2026-06-15/markets-KXDHOUSESEATS.json,archival
2026-06-15,kalshi,market,individual,NATL_SENATE_2026,national,,,seats_D,49.75,seats,,,/Users/cantstopkevin/Library/CloudStorage/Dropbox/Claude/website/KD-website/forecast/data/2026/raw/kalshi/2026-06-15/markets-KXDSENATESEATS.json,archival
2026-06-15,kalshi,market,individual,NATL_SENATE_2026,national,,,win_prob_D,0.4326,prob,,,/Users/cantstopkevin/Library/CloudStorage/Dropbox/Claude/website/KD-website/forecast/data/2026/raw/kalshi/2026-06-15/markets-KXDSENATESEATS.json,archival
2026-06-15,kalshi,market,individual,NATL_HOUSE_2026,national,,,margin_D,7.6571,pct,,,/Users/cantstopkevin/Library/CloudStorage/Dropbox/Claude/website/KD-website/forecast/data/2026/raw/kalshi/2026-06-15/markets-KXHOUSEPOPVOTEMARGIN.json,archival
2026-06-15,polymarket,market,individual,NATL_HOUSE_2026,national,,,margin_D,6.7588,pct,,,/Users/cantstopkevin/Library/CloudStorage/Dropbox/Claude/website/KD-website/forecast/data/2026/raw/polymarket/2026-06-15/event-2026-midterms-house-popular-vote-margin-of-victory-224.json,archival
2026-06-15,ddhq,polling,aggregate_only,NATL_HOUSE_2026,national,,,margin_D,5.4,pct,2026-08-23T01:38:02.311333+00:00,,/Users/cantstopkevin/Library/CloudStorage/Dropbox/Claude/website/KD-website/forecast/data/2026/raw/wikipedia/2026-06-15/current-2026-United-States-House-of-Representatives-elections.json,archival
2026-06-15,fiftyplusone,polling,private,NATL_HOUSE_2026,national,,,margin_D,5.6,pct,2026-08-23T01:38:02.311333+00:00,,/Users/cantstopkevin/Library/CloudStorage/Dropbox/Claude/website/KD-website/forecast/data/2026/raw/wikipedia/2026-06-15/current-2026-United-States-House-of-Representatives-elections.json,archival
2026-06-15,rcp,polling,aggregate_only,NATL_HOUSE_2026,national,,,margin_D,5.8,pct,2026-08-23T01:38:02.311333+00:00,,/Users/cantstopkevin/Library/CloudStorage/Dropbox/Claude/website/KD-website/forecast/data/2026/raw/wikipedia/2026-06-15/current-2026-United-States-House-of-Representatives-elections.json,archival
2026-06-15,silver_bulletin,polling,aggregate_only,NATL_HOUSE_2026,national,,,margin_D,6.4,pct,2026-08-23T01:38:02.311333+00:00,,/Users/cantstopkevin/Library/CloudStorage/Dropbox/Claude/website/KD-website/forecast/data/2026/raw/wikipedia/2026-06-15/current-2026-United-States-House-of-Representatives-elections.json,archival
2026-06-15,votehub,polling,private,NATL_HOUSE_2026,national,,,margin_D,5.4,pct,2026-08-23T01:38:02.311333+00:00,,/Users/cantstopkevin/Library/CloudStorage/Dropbox/Claude/website/KD-website/forecast/data/2026/raw/wikipedia/2026-06-15/current-2026-United-States-House-of-Representatives-elections.json,archival
2026-06-15,wikipedia,expert_ordinal,private,SEN_AL_2026,senate,AL,,pvi,-15.0,pct,2026-08-23T01:19:44.419753+00:00,,/Users/cantstopkevin/Library/CloudStorage/Dropbox/Claude/website/KD-website/forecast/data/2026/raw/wikipedia/2026-06-15/current-2026-United-States-Senate-elections.json,archival
2026-06-15,wikipedia,expert_ordinal,individual,SEN_AL_2026,senate,AL,,rating_ordinal,cook:Solid R,ordinal,2026-08-23T01:19:44.419753+00:00,,/Users/cantstopkevin/Library/CloudStorage/Dropbox/Claude/website/KD-website/forecast/data/2026/raw/wikipedia/2026-06-15/current-2026-United-States-Senate-elections.json,archival
2026-06-15,wikipedia,expert_ordinal,individual,SEN_AL_2026,senate,AL,,rating_numeric,10.0,ordinal,2026-08-23T01:19:44.419753+00:00,,/Users/cantstopkevin/Library/CloudStorage/Dropbox/Claude/website/KD-website/forecast/data/2026/raw/wikipedia/2026-06-15/current-2026-United-States-Senate-elections.json,archival
2026-06-15,wikipedia,expert_ordinal,individual,SEN_AL_2026,senate,AL,,rating_ordinal,inside_elections:Solid R,ordinal,2026-08-23T01:19:44.419753+00:00,,/Users/cantstopkevin/Library/CloudStorage/Dropbox/Claude/website/KD-website/forecast/data/2026/raw/wikipedia/2026-06-15/current-2026-United-States-Senate-elections.json,archival
