snapshot_date,source_id,category,publication,race_id,chamber,state,district,quantity,value,unit,captured_at,raw_sha256,raw_path,provenance
2026-04-08,kalshi,market,individual,NATL_HOUSE_2026,national,,,seats_D,238.12,seats,,,/Users/cantstopkevin/Library/CloudStorage/Dropbox/Claude/website/KD-website/forecast/data/2026/raw/kalshi/2026-04-08/markets-KXDHOUSESEATS.json,archival
2026-04-08,kalshi,market,individual,NATL_HOUSE_2026,national,,,win_prob_D,0.921,prob,,,/Users/cantstopkevin/Library/CloudStorage/Dropbox/Claude/website/KD-website/forecast/data/2026/raw/kalshi/2026-04-08/markets-KXDHOUSESEATS.json,archival
2026-04-08,kalshi,market,individual,NATL_SENATE_2026,national,,,seats_D,50.29,seats,,,/Users/cantstopkevin/Library/CloudStorage/Dropbox/Claude/website/KD-website/forecast/data/2026/raw/kalshi/2026-04-08/markets-KXDSENATESEATS.json,archival
2026-04-08,kalshi,market,individual,NATL_SENATE_2026,national,,,win_prob_D,0.5125,prob,,,/Users/cantstopkevin/Library/CloudStorage/Dropbox/Claude/website/KD-website/forecast/data/2026/raw/kalshi/2026-04-08/markets-KXDSENATESEATS.json,archival
2026-04-08,kalshi,market,individual,NATL_HOUSE_2026,national,,,margin_D,8.1971,pct,,,/Users/cantstopkevin/Library/CloudStorage/Dropbox/Claude/website/KD-website/forecast/data/2026/raw/kalshi/2026-04-08/markets-KXHOUSEPOPVOTEMARGIN.json,archival
2026-04-08,wikipedia,expert_ordinal,private,SEN_AL_2026,senate,AL,,pvi,-15.0,pct,2026-08-23T12:05:36.847712+00:00,,/Users/cantstopkevin/Library/CloudStorage/Dropbox/Claude/website/KD-website/forecast/data/2026/raw/wikipedia/2026-04-08/current-2026-United-States-Senate-elections.json,archival
2026-04-08,wikipedia,expert_ordinal,individual,SEN_AL_2026,senate,AL,,rating_ordinal,cook:Solid R,ordinal,2026-08-23T12:05:36.847712+00:00,,/Users/cantstopkevin/Library/CloudStorage/Dropbox/Claude/website/KD-website/forecast/data/2026/raw/wikipedia/2026-04-08/current-2026-United-States-Senate-elections.json,archival
2026-04-08,wikipedia,expert_ordinal,individual,SEN_AL_2026,senate,AL,,rating_numeric,10.0,ordinal,2026-08-23T12:05:36.847712+00:00,,/Users/cantstopkevin/Library/CloudStorage/Dropbox/Claude/website/KD-website/forecast/data/2026/raw/wikipedia/2026-04-08/current-2026-United-States-Senate-elections.json,archival
2026-04-08,wikipedia,expert_ordinal,individual,SEN_AL_2026,senate,AL,,rating_ordinal,inside_elections:Solid R,ordinal,2026-08-23T12:05:36.847712+00:00,,/Users/cantstopkevin/Library/CloudStorage/Dropbox/Claude/website/KD-website/forecast/data/2026/raw/wikipedia/2026-04-08/current-2026-United-States-Senate-elections.json,archival
2026-04-08,wikipedia,expert_ordinal,individual,SEN_AL_2026,senate,AL,,rating_numeric,10.0,ordinal,2026-08-23T12:05:36.847712+00:00,,/Users/cantstopkevin/Library/CloudStorage/Dropbox/Claude/website/KD-website/forecast/data/2026/raw/wikipedia/2026-04-08/current-2026-United-States-Senate-elections.json,archival
2026-04-08,wikipedia,expert_ordinal,individual,SEN_AL_2026,senate,AL,,rating_ordinal,sabato:Safe R,ordinal,2026-08-23T12:05:36.847712+00:00,,/Users/cantstopkevin/Library/CloudStorage/Dropbox/Claude/website/KD-website/forecast/data/2026/raw/wikipedia/2026-04-08/current-2026-United-States-Senate-elections.json,archival
2026-04-08,wikipedia,expert_ordinal,individual,SEN_AL_2026,senate,AL,,rating_numeric,10.0,ordinal,2026-08-23T12:05:36.847712+00:00,,/Users/cantstopkevin/Library/CloudStorage/Dropbox/Claude/website/KD-website/forecast/data/2026/raw/wikipedia/2026-04-08/current-2026-United-States-Senate-elections.json,archival
2026-04-08,wikipedia,expert_ordinal,individual,SEN_AL_2026,senate,AL,,rating_ordinal,race_to_the_wh:Safe R,ordinal,2026-08-23T12:05:36.847712+00:00,,/Users/cantstopkevin/Library/CloudStorage/Dropbox/Claude/website/KD-website/forecast/data/2026/raw/wikipedia/2026-04-08/current-2026-United-States-Senate-elections.json,archival
2026-04-08,wikipedia,expert_ordinal,individual,SEN_AL_2026,senate,AL,,rating_numeric,10.0,ordinal,2026-08-23T12:05:36.847712+00:00,,/Users/cantstopkevin/Library/CloudStorage/Dropbox/Claude/website/KD-website/forecast/data/2026/raw/wikipedia/2026-04-08/current-2026-United-States-Senate-elections.json,archival
2026-04-08,wikipedia,expert_ordinal,private,SEN_AK_2026,senate,AK,,pvi,-6.0,pct,2026-08-23T12:05:36.847712+00:00,,/Users/cantstopkevin/Library/CloudStorage/Dropbox/Claude/website/KD-website/forecast/data/2026/raw/wikipedia/2026-04-08/current-2026-United-States-Senate-elections.json,archival
2026-04-08,wikipedia,expert_ordinal,individual,SEN_AK_2026,senate,AK,,rating_ordinal,cook:Lean R,ordinal,2026-08-23T12:05:36.847712+00:00,,/Users/cantstopkevin/Library/CloudStorage/Dropbox/Claude/website/KD-website/forecast/data/2026/raw/wikipedia/2026-04-08/current-2026-United-States-Senate-elections.json,archival
2026-04-08,wikipedia,expert_ordinal,individual,SEN_AK_2026,senate,AK,,rating_numeric,7.0,ordinal,2026-08-23T12:05:36.847712+00:00,,/Users/cantstopkevin/Library/CloudStorage/Dropbox/Claude/website/KD-website/forecast/data/2026/raw/wikipedia/2026-04-08/current-2026-United-States-Senate-elections.json,archival
2026-04-08,wikipedia,expert_ordinal,individual,SEN_AK_2026,senate,AK,,rating_ordinal,inside_elections:Lean R,ordinal,2026-08-23T12:05:36.847712+00:00,,/Users/cantstopkevin/Library/CloudStorage/Dropbox/Claude/website/KD-website/forecast/data/2026/raw/wikipedia/2026-04-08/current-2026-United-States-Senate-elections.json,archival
2026-04-08,wikipedia,expert_ordinal,individual,SEN_AK_2026,senate,AK,,rating_numeric,7.0,ordinal,2026-08-23T12:05:36.847712+00:00,,/Users/cantstopkevin/Library/CloudStorage/Dropbox/Claude/website/KD-website/forecast/data/2026/raw/wikipedia/2026-04-08/current-2026-United-States-Senate-elections.json,archival
2026-04-08,wikipedia,expert_ordinal,individual,SEN_AK_2026,senate,AK,,rating_ordinal,sabato:Lean R,ordinal,2026-08-23T12:05:36.847712+00:00,,/Users/cantstopkevin/Library/CloudStorage/Dropbox/Claude/website/KD-website/forecast/data/2026/raw/wikipedia/2026-04-08/current-2026-United-States-Senate-elections.json,archival
2026-04-08,wikipedia,expert_ordinal,individual,SEN_AK_2026,senate,AK,,rating_numeric,7.0,ordinal,2026-08-23T12:05:36.847712+00:00,,/Users/cantstopkevin/Library/CloudStorage/Dropbox/Claude/website/KD-website/forecast/data/2026/raw/wikipedia/2026-04-08/current-2026-United-States-Senate-elections.json,archival
2026-04-08,wikipedia,expert_ordinal,individual,SEN_AK_2026,senate,AK,,rating_ordinal,race_to_the_wh:Toss-up,ordinal,2026-08-23T12:05:36.847712+00:00,,/Users/cantstopkevin/Library/CloudStorage/Dropbox/Claude/website/KD-website/forecast/data/2026/raw/wikipedia/2026-04-08/current-2026-United-States-Senate-elections.json,archival
2026-04-08,wikipedia,expert_ordinal,individual,SEN_AK_2026,senate,AK,,rating_numeric,5.0,ordinal,2026-08-23T12:05:36.847712+00:00,,/Users/cantstopkevin/Library/CloudStorage/Dropbox/Claude/website/KD-website/forecast/data/2026/raw/wikipedia/2026-04-08/current-2026-United-States-Senate-elections.json,archival
2026-04-08,wikipedia,expert_ordinal,private,SEN_AR_2026,senate,AR,,pvi,-15.0,pct,2026-08-23T12:05:36.847712+00:00,,/Users/cantstopkevin/Library/CloudStorage/Dropbox/Claude/website/KD-website/forecast/data/2026/raw/wikipedia/2026-04-08/current-2026-United-States-Senate-elections.json,archival
2026-04-08,wikipedia,expert_ordinal,individual,SEN_AR_2026,senate,AR,,rating_ordinal,cook:Solid R,ordinal,2026-08-23T12:05:36.847712+00:00,,/Users/cantstopkevin/Library/CloudStorage/Dropbox/Claude/website/KD-website/forecast/data/2026/raw/wikipedia/2026-04-08/current-2026-United-States-Senate-elections.json,archival
2026-04-08,wikipedia,expert_ordinal,individual,SEN_AR_2026,senate,AR,,rating_numeric,10.0,ordinal,2026-08-23T12:05:36.847712+00:00,,/Users/cantstopkevin/Library/CloudStorage/Dropbox/Claude/website/KD-website/forecast/data/2026/raw/wikipedia/2026-04-08/current-2026-United-States-Senate-elections.json,archival
2026-04-08,wikipedia,expert_ordinal,individual,SEN_AR_2026,senate,AR,,rating_ordinal,inside_elections:Solid R,ordinal,2026-08-23T12:05:36.847712+00:00,,/Users/cantstopkevin/Library/CloudStorage/Dropbox/Claude/website/KD-website/forecast/data/2026/raw/wikipedia/2026-04-08/current-2026-United-States-Senate-elections.json,archival
