snapshot_date,source_id,category,publication,race_id,chamber,state,district,quantity,value,unit,captured_at,raw_sha256,raw_path,provenance
2026-05-30,kalshi,market,individual,NATL_HOUSE_2026,national,,,seats_D,227.46,seats,,,/Users/cantstopkevin/Library/CloudStorage/Dropbox/Claude/website/KD-website/forecast/data/2026/raw/kalshi/2026-05-30/markets-KXDHOUSESEATS.json,archival
2026-05-30,kalshi,market,individual,NATL_HOUSE_2026,national,,,win_prob_D,0.7081,prob,,,/Users/cantstopkevin/Library/CloudStorage/Dropbox/Claude/website/KD-website/forecast/data/2026/raw/kalshi/2026-05-30/markets-KXDHOUSESEATS.json,archival
2026-05-30,kalshi,market,individual,NATL_SENATE_2026,national,,,seats_D,49.77,seats,,,/Users/cantstopkevin/Library/CloudStorage/Dropbox/Claude/website/KD-website/forecast/data/2026/raw/kalshi/2026-05-30/markets-KXDSENATESEATS.json,archival
2026-05-30,kalshi,market,individual,NATL_SENATE_2026,national,,,win_prob_D,0.4445,prob,,,/Users/cantstopkevin/Library/CloudStorage/Dropbox/Claude/website/KD-website/forecast/data/2026/raw/kalshi/2026-05-30/markets-KXDSENATESEATS.json,archival
2026-05-30,kalshi,market,individual,NATL_HOUSE_2026,national,,,margin_D,7.8214,pct,,,/Users/cantstopkevin/Library/CloudStorage/Dropbox/Claude/website/KD-website/forecast/data/2026/raw/kalshi/2026-05-30/markets-KXHOUSEPOPVOTEMARGIN.json,archival
2026-05-30,polymarket,market,individual,NATL_HOUSE_2026,national,,,margin_D,6.136,pct,,,/Users/cantstopkevin/Library/CloudStorage/Dropbox/Claude/website/KD-website/forecast/data/2026/raw/polymarket/2026-05-30/event-2026-midterms-house-popular-vote-margin-of-victory-224.json,archival
2026-05-30,wikipedia,expert_ordinal,private,SEN_AL_2026,senate,AL,,pvi,-15.0,pct,2026-08-23T12:06:12.957894+00:00,,/Users/cantstopkevin/Library/CloudStorage/Dropbox/Claude/website/KD-website/forecast/data/2026/raw/wikipedia/2026-05-30/current-2026-United-States-Senate-elections.json,archival
2026-05-30,wikipedia,expert_ordinal,individual,SEN_AL_2026,senate,AL,,rating_ordinal,cook:Solid R,ordinal,2026-08-23T12:06:12.957894+00:00,,/Users/cantstopkevin/Library/CloudStorage/Dropbox/Claude/website/KD-website/forecast/data/2026/raw/wikipedia/2026-05-30/current-2026-United-States-Senate-elections.json,archival
2026-05-30,wikipedia,expert_ordinal,individual,SEN_AL_2026,senate,AL,,rating_numeric,10.0,ordinal,2026-08-23T12:06:12.957894+00:00,,/Users/cantstopkevin/Library/CloudStorage/Dropbox/Claude/website/KD-website/forecast/data/2026/raw/wikipedia/2026-05-30/current-2026-United-States-Senate-elections.json,archival
2026-05-30,wikipedia,expert_ordinal,individual,SEN_AL_2026,senate,AL,,rating_ordinal,inside_elections:Solid R,ordinal,2026-08-23T12:06:12.957894+00:00,,/Users/cantstopkevin/Library/CloudStorage/Dropbox/Claude/website/KD-website/forecast/data/2026/raw/wikipedia/2026-05-30/current-2026-United-States-Senate-elections.json,archival
