race_id,person,bioguide,party,is_incumbent,event_type,event_date,known_by,date_basis,incumbent_on_ballot_after,source_url,notes,_confidence,_left_censored,_right_censored,_resolution_days,_days_present,_gaps,_last_seen,_pages,_section,_race_why,_evidence,_flag,_suggested_action,_needs_human
HOU_PA_03_2026,Dwight Evans,,,,retiring,,2025-06-30,wiki_first_seen,,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,high,,yes,1,325,0,2026-08-23,2026 United States House of Representatives elections,Retirements > Democratic,ushr template,# PA-3: Dwight Evans is retiring.,,,
HOU_SD_01_2026,Dusty Johnson,,,,seeking_other_office,,2025-06-30,wiki_first_seen,,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,high,,yes,1,325,0,2026-08-23,2026 United States House of Representatives elections,Retirements > Republican,ushr at-large (=01),# SD-AL: Dusty Johnson is retiring to run for governor.,,,
GOV_WI_2026,Tony Evers,,,,retiring,,2025-07-24,wiki_first_seen,,https://en.wikipedia.org/wiki/2026_United_States_gubernatorial_elections,,high,,yes,1,311,0,2026-08-23,2026 United States gubernatorial elections,Predictions; Race summary > States; Retirements,state name,"! Wisconsin | Tony | Evers (retiring) | data-sort-value=""-51.2"" | 51.15% D",,,
HOU_SC_05_2026,Ralph Norman,,,,seeking_other_office,,2025-07-25,wiki_first_seen,,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,high,,yes,1,302,0,2026-08-23,2026 United States House of Representatives elections,Retirements > Republican,ushr template,# SC-5: Ralph Norman is retiring to run for governor.,has_generic_twin,keep this row; its twin is the drop,
HOU_GA_10_2026,Mike Collins,,,,seeking_other_office,,2025-07-28,wiki_first_seen,,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,high,,yes,1,299,0,2026-08-23,2026 United States House of Representatives elections,Retirements > Republican,ushr template,# GA-10: Mike Collins is retiring to run for the U.S. Senate.,has_generic_twin,keep this row; its twin is the drop,
HOU_IL_07_2026,Danny Davis,,,,retiring,,2025-08-01,wiki_first_seen,,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,high,,yes,1,295,0,2026-08-23,2026 United States House of Representatives elections,Retirements > Democratic,ushr template,# IL-7: Danny Davis is retiring.,person_conflict,"two names for this seat and event type: Danny Davis, Danny K. Davis — one is a misread table cell",yes
HOU_SC_01_2026,Nancy Mace,,,,seeking_other_office,,2025-08-04,wiki_first_seen,,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,high,,yes,1,292,0,2026-08-23,2026 United States House of Representatives elections,Retirements > Republican,ushr template,# SC-1: Nancy Mace is retiring to run for governor.,has_generic_twin,keep this row; its twin is the drop,
HOU_AL_01_2026,Barry Moore,,,,seeking_other_office,,2025-08-12,wiki_first_seen,,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,high,,yes,1,284,0,2026-08-23,2026 United States House of Representatives elections,Retirements > Republican,ushr template,# AL-1: Barry Moore is retiring to run for the U.S. Senate.,,,
HOU_TX_21_2026,Chip Roy,,,,seeking_other_office,,2025-08-21,wiki_first_seen,,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,high,,yes,1,275,0,2026-08-23,2026 United States House of Representatives elections,Retirements > Republican,ushr template,# TX-21: Chip Roy is retiring to run for Texas attorney general.,has_generic_twin,keep this row; its twin is the drop,
HOU_KY_06_2026,,,,,retiring,,2025-08-25,wiki_first_seen,,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_election_ratings,,high,,yes,1,150,0,2026-08-23,2026 United States House of Representatives election ratings,Election ratings > Latest published ratings for competitive seats; Party listings > Republican-held seats,district link,# Kentucky 6: Open seat,seat_level_confirmation,not an event — the ratings page marking the seat open AFTER the incumbent announced. Useful only as a cross-check on incumbent_on_ballot_after,yes
