ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",548078,-0.0011,0.6492,0.3314,0.0194,440812,0.6786,0.3214,0.1595,0.1018,0.0452,0.0182,0.0022,
"2",549301,0.0011,0.5697,0.4102,0.0201,446782,0.7684,0.2316,0.1246,0.0571,0.0381,0.0193,0.0016,
"",1097379,1,0.6067,0.3736,0.0198,887594,0.7238,0.2762,0.1419,0.0793,0.0416,0.0188,0.0019,
