ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",731203,0,0.4259,0.5565,0.0176,570538,0.7114,0.2886,0.0682,0.1739,0.0253,0.0192,0.0018,
"2",731203,0,0.4204,0.5617,0.0179,563028,0.6407,0.3593,0.0596,0.2539,0.0272,0.0219,0.0018,
"3",731204,0,0.3038,0.6805,0.0158,577297,0.7405,0.2595,0.0475,0.1759,0.0146,0.0208,0.001,
"4",731204,0,0.3802,0.6003,0.0195,565412,0.6705,0.3295,0.09,0.1903,0.0307,0.0201,0.0014,
"5",731204,0,0.4005,0.5835,0.016,562685,0.6649,0.3351,0.0453,0.2466,0.0226,0.021,0.0012,
"6",731204,0,0.6503,0.3362,0.0135,586760,0.4455,0.5545,0.0532,0.4689,0.0212,0.0162,0.0018,
"7",731203,0,0.4026,0.5861,0.0113,588740,0.6713,0.3287,0.0402,0.2539,0.0139,0.02,0.0012,
"",5118425,1,0.426,0.5581,0.0159,4014460,0.6486,0.3514,0.0576,0.2528,0.0221,0.0199,0.0015,
